a(chebi:10100)	partOf	complex(a(chebi:10100), p(hgnc:19679))	{"relation": "partOf"}
bp(go:0006954)	negativeCorrelation	a(chebi:49662)	{"annotations": {}, "citation": {"db": "DOI", "db_id": "https://doi.org/10.1101/2020.03.22.002386"}, "evidence": "Chemoinformatics searches yielded 15 approved drugs, four investigational new drugs (clinical), and 18 pre-clinical candidates (Table 1a), while specialist knowledge revealed 12 approved drugs, 10 investigational new drugs (clinical), and 10 preclinical candidates (Table 1b).", "line": 512, "relation": "negativeCorrelation"}
bp(go:0006955)	regulates	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Dong XQ", "Wang XC", "Yang CX", "Yang XP", "Zhang M", "Zhang N", "Zheng HY", "Zheng YT"], "date": "2020-03-17", "db": "PubMed", "db_id": "32203186", "db_name": "Cellular &amp; molecular immunology", "first": "Zheng HY", "last": "Zheng YT"}, "evidence": "This suggests that homeostasis of the immune system plays an important role in the development of COVID-19 pneumonia.", "line": 65, "relation": "regulates"}
bp(go:0006955)	increases	bp(go:0060337)	{"annotations": {}, "citation": {"authors": ["Ritchie AI", "Singanayagam A"], "date": "2020-04-04", "db": "PubMed", "db_id": "32220278", "db_name": "Lancet (London, England)", "first": "Ritchie AI", "last": "Singanayagam A", "pages": "1111", "volume": "395"}, "evidence": "Accordingly, findings from multiple studies in humans and animals indicate that corticosteroid immunosuppression (both inhaled and systemic) impairs induction of anti-viral type-I interferon responses to a range of respiratory viruses,3,4 effects that are likely to also occur in the context of COVID-19.", "line": 75, "relation": "increases"}
bp(go:0006955)	increases	p(hgnc:11892)	{"citation": {"authors": ["Colson P", "Devaux CA", "Raoult D", "Rolain JM"], "date": "2020-03-12", "db": "PubMed", "db_id": "32171740", "db_name": "International journal of antimicrobial agents", "first": "Devaux CA", "last": "Raoult D", "pages": "105938"}, "evidence": "Chloroquine-induced inhibition of tumour necrosis factor-alpha (TNF\u03b1) production by immune cells was reported to occur either through disruption of cellular iron metabolism [80], blockade of the conversion of pro-TNF into soluble mature TNF\u03b1 molecules [81] and/or inhibition of TNF\u03b1 mRNA expression [72,82,83].", "line": 234, "relation": "increases"}
bp(go:0006956)	association	a(mesh:D015926)	{"annotations": {"mesh": {"D008168": true, "D045169": true}}, "citation": {"authors": ["Baric RS", "Gralinski LE", "Heise MT", "Jensen K", "Leist SR", "Menachery VD", "Morrison TE", "Sheahan TP", "Whitmore A"], "date": "2018-10-09", "db": "PubMed", "db_id": "30301856", "db_name": "mBio", "first": "Gralinski LE", "last": "Baric RS", "volume": "9"}, "evidence": "C3 activation products (C3 fragments C3a, C3b, iC3b, C3dg, and C3c) were detected by Western blotting in lung tissue of SARS-CoV MA15-infected mice, but not in control mice, as early as 1 day postinfection (dpi) (Fig. 1B), confirming that SARS-CoV MA15 infection activates the complement pathway.", "line": 70, "relation": "association"}
bp(go:0006956)	association	a(mesh:D003179)	{"annotations": {"mesh": {"D008168": true, "D045169": true}}, "citation": {"authors": ["Baric RS", "Gralinski LE", "Heise MT", "Jensen K", "Leist SR", "Menachery VD", "Morrison TE", "Sheahan TP", "Whitmore A"], "date": "2018-10-09", "db": "PubMed", "db_id": "30301856", "db_name": "mBio", "first": "Gralinski LE", "last": "Baric RS", "volume": "9"}, "evidence": "C3 activation products (C3 fragments C3a, C3b, iC3b, C3dg, and C3c) were detected by Western blotting in lung tissue of SARS-CoV MA15-infected mice, but not in control mice, as early as 1 day postinfection (dpi) (Fig. 1B), confirming that SARS-CoV MA15 infection activates the complement pathway.", "line": 71, "relation": "association"}
bp(go:0006956)	association	a(mesh:D015932)	{"annotations": {"mesh": {"D008168": true, "D045169": true}}, "citation": {"authors": ["Baric RS", "Gralinski LE", "Heise MT", "Jensen K", "Leist SR", "Menachery VD", "Morrison TE", "Sheahan TP", "Whitmore A"], "date": "2018-10-09", "db": "PubMed", "db_id": "30301856", "db_name": "mBio", "first": "Gralinski LE", "last": "Baric RS", "volume": "9"}, "evidence": "C3 activation products (C3 fragments C3a, C3b, iC3b, C3dg, and C3c) were detected by Western blotting in lung tissue of SARS-CoV MA15-infected mice, but not in control mice, as early as 1 day postinfection (dpi) (Fig. 1B), confirming that SARS-CoV MA15 infection activates the complement pathway.", "line": 72, "relation": "association"}
bp(go:0006956)	association	p(mesh:C045477)	{"annotations": {"mesh": {"D008168": true, "D045169": true}}, "citation": {"authors": ["Baric RS", "Gralinski LE", "Heise MT", "Jensen K", "Leist SR", "Menachery VD", "Morrison TE", "Sheahan TP", "Whitmore A"], "date": "2018-10-09", "db": "PubMed", "db_id": "30301856", "db_name": "mBio", "first": "Gralinski LE", "last": "Baric RS", "volume": "9"}, "evidence": "C3 activation products (C3 fragments C3a, C3b, iC3b, C3dg, and C3c) were detected by Western blotting in lung tissue of SARS-CoV MA15-infected mice, but not in control mice, as early as 1 day postinfection (dpi) (Fig. 1B), confirming that SARS-CoV MA15 infection activates the complement pathway.", "line": 73, "relation": "association"}
bp(go:0006956)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 191, "relation": "positiveCorrelation"}
bp(go:0006958)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 189, "relation": "positiveCorrelation"}
bp(go:0006959)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 198, "relation": "positiveCorrelation"}
bp(go:0006970)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 136, "relation": "positiveCorrelation"}
bp(go:0006986)	negativeCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 3. GO-term and KEGG pathway enrichment of down-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 513, "relation": "negativeCorrelation"}
bp(go:0006986)	increases	act(p(hgnc:3449), ma(go:"protein homooligomerization"))	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "In response to unfolded proteins, IRE1 undergoes oligomerization (Bertolotti et al., 2000). This results in trans-autophosphorylation of the kinase domain and the activation of IRE1\u2019s RNase domain.", "line": 351, "object": {"effect": {"namespace": "go", "name": "protein homooligomerization", "identifier": "0051260"}, "modifier": "Activity"}, "relation": "increases"}
bp(go:0007015)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 144, "relation": "positiveCorrelation"}
bp(go:0007042)	increases	p(mesh:D054334)	{"annotations": {"mesh": {"D003593": true, "D018352": true}}, "citation": {"authors": ["Colson P", "Devaux CA", "Raoult D", "Rolain JM"], "date": "2020-03-12", "db": "PubMed", "db_id": "32171740", "db_name": "International journal of antimicrobial agents", "first": "Devaux CA", "last": "Raoult D", "pages": "105938"}, "evidence": "A pH-dependant mechanism of entry of coronavirus into target cells was also reported for SARS-CoV-1 after binding of the DC-SIGN receptor [62]. The activation step that occurs in endosomes at acidic pH results in fusion of the viral and endosomal membranes leading to the release of the viral SARS-CoV-1 genome into the cytosol [63].In the absence of antiviral drug, the virus is targeted to the lysosomal compartment where the low pH, along with the action of enzymes, disrupts the viral particle, thus liberating the infectious nucleic acid and, in several cases, enzymes necessary for its replication [64].", "line": 164, "relation": "increases"}
bp(go:0007044)	negativeCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 3. GO-term and KEGG pathway enrichment of down-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 603, "relation": "negativeCorrelation"}
bp(go:0007051)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 246, "relation": "positiveCorrelation"}
bp(go:0007052)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 250, "relation": "positiveCorrelation"}
bp(go:0007059)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 240, "relation": "positiveCorrelation"}
bp(go:0007077)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 352, "relation": "positiveCorrelation"}
bp(go:0007080)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 356, "relation": "positiveCorrelation"}
bp(go:0007088)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 257, "relation": "positiveCorrelation"}
bp(go:0007091)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 253, "relation": "positiveCorrelation"}
bp(go:0007093)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 258, "relation": "positiveCorrelation"}
bp(go:0007094)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 264, "relation": "positiveCorrelation"}
bp(go:0007143)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 349, "relation": "positiveCorrelation"}
bp(go:0007229)	association	p(uniprot:P59595)	{"annotations": {}, "citation": {"authors": ["Chow VT", "Jameel S", "Lal SK", "Liu B", "Surjit M"], "date": "2004-10-01", "db": "PubMed", "db_id": "15294014", "db_name": "The Biochemical journal", "first": "Surjit M", "last": "Lal SK", "pages": "13-8", "volume": "383"}, "evidence": "This result supported further our hypothesis that N-induced cell death was due to interference with the integrin signalling pathway, and that serum factors inhibited this phenomenon dominantly by maintaining the activity of FAK through alternative pathways.", "line": 84, "relation": "association"}
bp(go:0007229)	association	p(uniprot:P59595)	{"annotations": {}, "citation": {"authors": ["Chow VT", "Jameel S", "Lal SK", "Liu B", "Surjit M"], "date": "2004-10-01", "db": "PubMed", "db_id": "15294014", "db_name": "The Biochemical journal", "first": "Surjit M", "last": "Lal SK", "pages": "13-8", "volume": "383"}, "evidence": "From these experiments, we conclude that the N protein of SARS-CoV induces apoptosis and actin reorganization by interfering with the integrin signalling pathway during cellular stress induced by the absence of growth factors.", "line": 161, "relation": "association"}
bp(go:0007229)	negativeCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 3. GO-term and KEGG pathway enrichment of down-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 511, "relation": "negativeCorrelation"}
bp(go:0007292)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 354, "relation": "positiveCorrelation"}
bp(go:0007409)	negativeCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 3. GO-term and KEGG pathway enrichment of down-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 671, "relation": "negativeCorrelation"}
bp(go:0007411)	negativeCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 3. GO-term and KEGG pathway enrichment of down-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 668, "relation": "negativeCorrelation"}
bp(go:0007431)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 141, "relation": "positiveCorrelation"}
bp(go:0007435)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 132, "relation": "positiveCorrelation"}
bp(go:0007568)	positiveCorrelation	a(mesh:D009026)	{"annotations": {}, "citation": {"authors": ["Cao B", "Chen H", "Du R", "Fan G", "Gu X", "Guan L", "Li H", "Liu Y", "Liu Z", "Song B", "Tu S", "Wang Y", "Wei Y", "Wu X", "Xiang J", "Xu J", "Yu T", "Zhang Y", "Zhou F"], "date": "2020-03-28", "db": "PubMed", "db_id": "32171076", "db_name": "Lancet (London, England)", "first": "Zhou F", "last": "Cao B", "pages": "1054-1062", "volume": "395"}, "evidence": "Age, lymphopenia, leucocytosis, and elevated ALT, lactate dehydrogenase, high-sensitivity cardiac troponin I, creatine kinase, d-dimer, serum ferritin, IL-6, prothrombin time, creatinine, and procalcitonin were also associated with death (table 3).", "line": 96, "relation": "positiveCorrelation"}
bp(go:0007568)	negativeCorrelation	p(hgnc:13557)	{"annotations": {}, "citation": {"authors": ["Cheng H", "Wang GQ", "Wang Y"], "date": "2020-03-27", "db": "PubMed", "db_id": "32221983", "db_name": "Journal of medical virology", "first": "Cheng H", "last": "Wang GQ"}, "evidence": "The expression of ACE2 decreases with increasing age.", "line": 300, "relation": "negativeCorrelation"}
bp(go:0008037)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 227, "relation": "positiveCorrelation"}
bp(go:0008360)	association	p(mesh:D014763)	{"citation": {"authors": ["Fung TS", "Liu DX"], "date": "2014-01-01", "db": "PubMed", "db_id": "24987391", "db_name": "Frontiers in microbiology", "first": "Fung TS", "last": "Liu DX", "pages": "296", "volume": "5"}, "evidence": "The abundant membrane (M) proteins give the virion its shape,whereas the small envelope(E) proteins play an essential role during assembly (Sturmanetal.,1980; Liu and Inglis, 1991). Inside the envelope,the helical nucleocapsid is formed by binding of the nucleocapsid(N) proteins on the genomicRNA in a beads-on-a-string fashion.", "line": 85, "relation": "association"}
bp(go:0008544)	positiveCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 102, "relation": "positiveCorrelation"}
bp(go:0008608)	positiveCorrelation	path(doid:0080600)	{"annotations": {"cl": {"2000001": true}}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 2. GO-term and KEGG pathway enrichment of up-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 291, "relation": "positiveCorrelation"}
bp(go:0009100)	negativeCorrelation	path(doid:0080600)	{"annotations": {}, "citation": {"authors": ["Cao L", "Chen Y", "Guo D", "Guo M", "Hu W", "Jiang A", "Lan K", "Lin Y", "Liu Y", "Shi M", "Tang Z", "Wang D", "Wu H", "Xiong Y", "Yang J", "Zhang M", "Zhang Q", "Zhou Y"], "date": "2020-12-01", "db": "PubMed", "db_id": "32228226", "db_name": "Emerging microbes &amp; infections", "first": "Xiong Y", "last": "Chen Y", "pages": "761-770", "volume": "9"}, "evidence": "Figure 3. GO-term and KEGG pathway enrichment of down-regulated expressed genes in BALF and PBMC of COVID-19 patients.", "line": 578, "relation": "negativeCorrelation"}
